================ Training Loss (Wed Aug 30 12:06:44 2023) ================
================ Training Loss (Wed Aug 30 12:07:29 2023) ================
(epoch: 1, iters: 100, time: 0.198, data: 0.278) D_A: 0.255 G_A: 0.322 cycle_A: 6.358 idt_A: 1.683 D_B: 0.278 G_B: 0.278 cycle_B: 3.978 idt_B: 3.178 
(epoch: 1, iters: 200, time: 0.198, data: 0.002) D_A: 0.200 G_A: 0.341 cycle_A: 2.379 idt_A: 2.098 D_B: 0.151 G_B: 0.442 cycle_B: 4.171 idt_B: 1.208 
(epoch: 1, iters: 300, time: 0.199, data: 0.002) D_A: 0.322 G_A: 0.612 cycle_A: 1.716 idt_A: 0.925 D_B: 0.096 G_B: 0.114 cycle_B: 1.666 idt_B: 0.965 
(epoch: 2, iters: 100, time: 0.368, data: 0.364) D_A: 0.172 G_A: 0.747 cycle_A: 2.885 idt_A: 0.732 D_B: 0.195 G_B: 0.294 cycle_B: 1.262 idt_B: 1.430 
(epoch: 2, iters: 200, time: 0.200, data: 0.002) D_A: 0.400 G_A: 0.172 cycle_A: 2.074 idt_A: 1.092 D_B: 0.440 G_B: 0.244 cycle_B: 2.205 idt_B: 1.119 
(epoch: 2, iters: 300, time: 0.202, data: 0.002) D_A: 0.227 G_A: 0.191 cycle_A: 2.196 idt_A: 0.945 D_B: 0.128 G_B: 0.648 cycle_B: 2.098 idt_B: 1.041 
(epoch: 3, iters: 100, time: 0.202, data: 0.379) D_A: 0.144 G_A: 0.369 cycle_A: 2.380 idt_A: 1.291 D_B: 0.069 G_B: 0.672 cycle_B: 2.600 idt_B: 1.123 
(epoch: 3, iters: 200, time: 0.400, data: 0.002) D_A: 0.439 G_A: 0.174 cycle_A: 5.839 idt_A: 0.799 D_B: 0.282 G_B: 0.297 cycle_B: 1.758 idt_B: 2.897 
(epoch: 3, iters: 300, time: 0.202, data: 0.002) D_A: 0.148 G_A: 0.481 cycle_A: 1.442 idt_A: 0.849 D_B: 0.224 G_B: 0.798 cycle_B: 1.861 idt_B: 0.684 
(epoch: 4, iters: 100, time: 0.203, data: 0.369) D_A: 0.309 G_A: 0.509 cycle_A: 2.127 idt_A: 1.252 D_B: 0.371 G_B: 0.219 cycle_B: 2.656 idt_B: 0.789 
(epoch: 4, iters: 200, time: 0.202, data: 0.002) D_A: 0.196 G_A: 0.162 cycle_A: 1.035 idt_A: 0.922 D_B: 0.411 G_B: 0.817 cycle_B: 1.997 idt_B: 0.427 
(epoch: 4, iters: 300, time: 0.357, data: 0.002) D_A: 0.162 G_A: 0.714 cycle_A: 1.071 idt_A: 1.352 D_B: 0.157 G_B: 0.217 cycle_B: 2.783 idt_B: 0.501 
(epoch: 5, iters: 100, time: 0.200, data: 0.353) D_A: 0.256 G_A: 0.347 cycle_A: 1.576 idt_A: 0.605 D_B: 0.241 G_B: 1.119 cycle_B: 1.135 idt_B: 0.870 
(epoch: 5, iters: 200, time: 0.201, data: 0.002) D_A: 0.215 G_A: 0.250 cycle_A: 1.504 idt_A: 1.087 D_B: 0.282 G_B: 0.509 cycle_B: 1.942 idt_B: 0.498 
(epoch: 5, iters: 300, time: 0.201, data: 0.002) D_A: 0.451 G_A: 0.400 cycle_A: 2.581 idt_A: 0.911 D_B: 0.104 G_B: 0.510 cycle_B: 1.924 idt_B: 2.310 
(epoch: 6, iters: 100, time: 0.382, data: 0.477) D_A: 0.178 G_A: 0.751 cycle_A: 1.783 idt_A: 1.110 D_B: 0.176 G_B: 0.349 cycle_B: 2.462 idt_B: 1.040 
(epoch: 6, iters: 200, time: 0.201, data: 0.002) D_A: 0.423 G_A: 0.143 cycle_A: 1.087 idt_A: 2.306 D_B: 0.341 G_B: 0.528 cycle_B: 5.283 idt_B: 0.473 
(epoch: 6, iters: 300, time: 0.202, data: 0.002) D_A: 0.143 G_A: 0.965 cycle_A: 1.535 idt_A: 2.044 D_B: 0.240 G_B: 0.263 cycle_B: 4.765 idt_B: 0.582 
(epoch: 7, iters: 100, time: 0.201, data: 0.323) D_A: 0.440 G_A: 0.329 cycle_A: 3.005 idt_A: 0.497 D_B: 0.548 G_B: 0.263 cycle_B: 1.250 idt_B: 1.341 
